M188-1 | mandant | paar | zeilen | fehler | aufwaermlauf_ms | beste_ms | laeufe_ms
M188-1 | NEXANS  | 48H  |      2 |     50 |         338.777 |   23.370 | 24.5/23.4/24.0/23.4/24.4
M188-1 | NEXANS  | 30T  |      6 |     55 |          24.455 |   23.756 | 24.1/23.8/25.4/24.5/25.3
M188-1 | NEXANS  | 12M  |     35 |    711 |          36.741 |   34.536 | 35.6/37.7/36.7/34.5/34.7
M188-1 | SUTTONS | 48H  |      0 |      0 |          23.416 |   23.505 | 23.5/23.5/24.9/24.6/24.7
M188-1 | SUTTONS | 30T  |      5 |      5 |          23.324 |   22.895 | 22.9/23.6/24.4/23.9/22.9
M188-1 | SUTTONS | 12M  |     61 |    103 |          28.573 |   26.506 | 27.4/30.6/27.7/27.8/26.5
M188-1 | VOTG    | 48H  |      0 |      0 |          23.764 |   21.517 | 22.9/21.5/22.0/21.9/22.6
M188-1 | VOTG    | 30T  |      0 |      0 |          22.928 |   22.192 | 22.4/22.7/22.2/23.6/23.1
M188-1 | VOTG    | 12M  |      1 |      8 |          23.596 |   24.018 | 24.0/24.7/25.1/24.8/24.5
M188-1 | IBIS    | 48H  |      0 |      0 |          23.560 |   22.491 | 23.0/22.5/22.6/22.6/22.8
M188-1 | IBIS    | 30T  |      0 |      0 |          22.286 |   22.118 | 22.9/23.2/23.9/22.1/22.8
M188-1 | IBIS    | 12M  |      0 |      0 |          24.673 |   23.838 | 24.3/23.8/24.7/24.2/25.3
