M188-2 | mandant | paar | sicht    | heute_best_ms | heute_laeufe_ms | ohne_fehler_best_ms | ohne_fehler_laeufe_ms | summe_heute | summe_ohne_fehler
M188-2 | NEXANS  | 48H  | RICHTUNG |        10.429 | 11.8/10.6/10.6/10.7/10.4 |              10.473 | 11.0/10.7/10.5/10.9/10.7 |        9950 |              9900
M188-2 | NEXANS  | 48H  | PARTNER  |        10.604 | 10.6/10.7/10.7/10.6/11.5 |              10.790 | 11.0/10.8/10.8/10.8/10.9 |        9950 |              9900
M188-2 | NEXANS  | 30T  | RICHTUNG |        68.329 | 68.5/68.3/68.6/68.9/68.3 |              71.519 | 71.9/71.5/72.9/74.6/71.8 |      176050 |            175995
M188-2 | NEXANS  | 30T  | PARTNER  |        69.011 | 70.9/69.3/69.0/69.8/69.3 |              71.282 | 71.3/71.6/71.9/71.8/71.9 |      176050 |            175995
M188-2 | NEXANS  | 12M  | RICHTUNG |        94.625 | 94.8/94.6/94.6/96.1/95.3 |              98.287 | 98.8/98.8/98.3/99.3/98.9 |     2308005 |           2307294
M188-2 | NEXANS  | 12M  | PARTNER  |        95.307 | 96.7/96.0/95.9/95.3/95.9 |              98.992 | 101.3/100.2/99.0/99.6/99.1 |     2308005 |           2307294
M188-2 | SUTTONS | 48H  | RICHTUNG |         9.725 | 10.0/9.9/10.2/9.7/9.8 |              10.258 | 10.3/10.3/10.4/10.5/10.5 |        1337 |              1337
M188-2 | SUTTONS | 48H  | PARTNER  |         9.814 | 9.9/10.2/10.4/10.3/9.8 |              10.185 | 10.7/10.6/10.5/10.2/10.2 |        1337 |              1337
M188-2 | SUTTONS | 30T  | RICHTUNG |        50.682 | 51.3/50.7/50.8/51.3/51.3 |              53.612 | 54.4/53.6/54.1/53.9/53.9 |       20964 |             20959
M188-2 | SUTTONS | 30T  | PARTNER  |        50.999 | 51.5/51.3/51.5/51.1/51.0 |              53.706 | 54.1/54.3/53.9/54.1/53.7 |       20964 |             20959
M188-2 | SUTTONS | 12M  | RICHTUNG |        67.007 | 67.9/67.3/67.2/67.2/67.0 |              70.578 | 71.4/71.7/70.6/70.8/70.9 |      196536 |            196433
M188-2 | SUTTONS | 12M  | PARTNER  |        66.589 | 67.2/66.8/66.9/66.6/67.2 |              70.256 | 70.6/70.3/71.8/70.5/70.9 |      196536 |            196433
