M189 | tor | mandant | art     | lage     | fenster_von      | fenster_bis      | endpunkt_best_ms | endpunkt_laeufe_ms | dienst_best_ms | dienst_laeufe_ms | bezug_best_ms | bezug_laeufe_ms | zuschlag_ms | nachrichten | fehler | rumpf_bytes
M189 | 2   | NEXANS  | typisch | 48H      | 2025-11-07T17:00 | 2025-11-09T17:00 |           87.178 | 90.7/90.8/87.5/88.3/87.2 |         58.979 | 61.8/60.4/61.5/60.4/59.0 |        41.808 | 49.3/47.8/45.3/44.9/41.8 |      17.171 |       16464 |      0 | 203346
M189 | 2   | NEXANS  | typisch | 12M      | 2024-12-01T00:00 | 2025-12-01T00:00 |          159.947 | 162.7/159.9/166.1/160.5/161.8 |        137.948 | 138.3/138.8/142.4/138.5/137.9 |       107.559 | 109.1/108.2/109.4/110.4/107.6 |      30.388 |     2282520 |    656 | 205220
M189 | 3   | NEXANS  | dicht   | 48H      | 2024-10-07T22:00 | 2024-10-09T22:00 |          336.264 | 346.6/338.1/343.9/336.3/337.6 |        315.591 | 321.7/315.6/316.5/322.1/317.7 |       298.643 | 304.2/301.8/298.6/299.7/300.9 |      16.948 |       33148 |     15 | 203565
M189 | 3   | NEXANS  | dicht   | 12M      | 2023-11-01T00:00 | 2024-11-01T00:00 |          349.339 | 356.2/357.6/354.2/349.3/358.3 |        328.724 | 328.7/330.7/331.6/352.9/350.6 |       289.942 | 291.1/292.9/294.3/290.2/289.9 |      38.782 |      222049 |   2163 | 204284
M189 | 4   | NEXANS  | frei    | jahr     | 2025-01-01T00:00 | 2026-01-01T00:00 |          161.241 | 163.8/162.2/161.7/161.8/161.2 |        141.746 | 142.6/141.7/144.8/145.8/143.5 |       106.969 | 108.7/109.4/107.0/108.6/108.9 |      34.777 |     2308005 |    711 | 205223
M189 | 4   | NEXANS  | frei    | boesfall | 2024-12-30T14:00 | 2025-12-30T03:00 |          149.280 | 150.9/150.4/155.6/159.3/149.3 |        131.994 | 132.0/132.4/133.7/134.6/132.5 |       101.653 | 101.7/102.0/102.1/104.9/104.7 |      30.340 |     2309634 |    662 | 205222
M189 | 2   | SUTTONS | typisch | 48H      | 2025-06-07T21:00 | 2025-06-09T21:00 |           63.528 | 64.6/64.1/63.6/63.5/66.2 |         48.542 | 50.6/51.2/50.7/48.7/48.5 |        24.722 | 24.7/25.6/25.8/25.3/27.0 |      23.820 |        1360 |      1 | 4019
M189 | 2   | SUTTONS | typisch | 12M      | 2024-07-01T00:00 | 2025-07-01T00:00 |           90.043 | 91.2/90.9/91.6/90.0/90.8 |         75.432 | 76.1/75.4/75.6/76.5/79.2 |        45.890 | 48.0/45.9/47.6/48.4/48.0 |      29.543 |       67686 |     37 | 4053
M189 | 3   | SUTTONS | dicht   | 48H      | 2025-06-10T11:00 | 2025-06-12T11:00 |           90.577 | 118.3/91.6/90.6/95.7/91.7 |         76.442 | 76.4/80.8/77.9/79.1/79.4 |        52.475 | 53.3/52.5/53.4/52.6/53.7 |      23.967 |        1410 |      1 | 4023
M189 | 3   | SUTTONS | dicht   | 12M      | 2024-07-01T00:00 | 2025-07-01T00:00 |          100.468 | 103.8/107.6/100.5/110.7/107.6 |         86.626 | 88.4/89.0/88.4/87.7/86.6 |        59.422 | 62.7/62.3/63.5/59.9/59.4 |      27.205 |       67686 |     37 | 4053
M189 | 4   | SUTTONS | frei    | jahr     | 2025-01-01T00:00 | 2026-01-01T00:00 |           86.989 | 88.2/89.1/87.7/87.0/88.7 |         73.324 | 73.3/73.9/75.2/77.5/76.1 |        49.065 | 50.0/54.7/50.6/49.1/49.5 |      24.259 |      196536 |    103 | 4072
M189 | 4   | SUTTONS | frei    | boesfall | 2024-12-30T14:00 | 2025-12-30T03:00 |           80.172 | 171.8/81.9/82.5/80.2/81.1 |         67.972 | 68.5/71.1/71.5/68.0/69.6 |        43.073 | 45.0/43.1/46.1/45.7/44.8 |      24.899 |      196508 |    103 | 4072
