M186 | mandant | art     | paar | g                | live_eimer | rollupzeilen | quellzeilen | endpunkt_best_ms | endpunkt_laeufe_ms | dienst_best_ms | dienst_laeufe_ms | bezug_best_ms | bezug_laeufe_ms | zuschlag_ms | rumpf_bytes | nachrichten
M186 | NEXANS  | typisch | 48H  | 2025-11-09T15:00 |          2 |            3 |           3 |           95.004 | 98.1/97.8/152.4/95.5/95.0 |         70.908 | 74.9/73.6/70.9/71.1/71.7 |        65.348 | 81.0/73.6/71.2/65.3/69.9 |       5.559 |       10391 | 16464
M186 | NEXANS  | typisch | 30T  | 2025-11-09T15:00 |          2 |            3 |           3 |          279.303 | 287.9/280.9/287.1/280.4/279.3 |        260.392 | 263.7/260.4/260.4/263.1/264.4 |       255.285 | 257.9/258.2/261.3/255.3/259.8 |       5.107 |       10320 | 192397
M186 | NEXANS  | typisch | 12M  | 2025-11-09T15:00 |          2 |            3 |           3 |          311.392 | 312.4/315.8/374.2/312.2/311.4 |        297.637 | 301.1/298.0/299.3/297.6/297.8 |       293.715 | 294.5/297.1/296.0/293.7/293.8 |       3.922 |        6575 | 2282520
M186 | NEXANS  | dicht   | 48H  | 2024-10-09T18:00 |          4 |           37 |          37 |          375.760 | 388.9/377.4/387.3/381.0/375.8 |        359.192 | 362.4/361.5/367.2/370.0/359.2 |        88.613 | 88.6/89.3/91.9/89.0/94.1 |     270.578 |       13150 | 33148
M186 | NEXANS  | dicht   | 30T  | 2024-10-09T18:00 |          4 |           37 |          37 |          388.631 | 389.3/399.4/397.1/391.9/388.6 |        373.106 | 376.5/375.3/374.6/373.1/378.5 |       102.582 | 102.6/105.3/106.7/104.6/102.9 |     270.524 |        5106 | 79033
M186 | NEXANS  | dicht   | 12M  | 2024-10-09T18:00 |          4 |           37 |          37 |          359.099 | 361.4/373.6/359.1/359.6/370.8 |        349.437 | 353.2/354.6/349.4/350.5/351.6 |        72.977 | 74.5/74.0/74.0/73.0/75.4 |     276.460 |        3161 | 222049
M186 | VOTG    | typisch | 48H  | 2025-06-22T01:00 |          2 |           12 |          12 |           96.007 | 97.9/96.3/96.0/106.2/96.3 |         77.235 | 86.9/81.8/81.4/82.0/77.2 |        71.545 | 74.3/71.5/72.4/73.1/77.3 |       5.689 |        6973 | 656
M186 | VOTG    | typisch | 30T  | 2025-06-22T01:00 |          2 |           12 |          12 |          217.416 | 218.7/220.5/217.6/217.4/222.3 |        201.417 | 201.7/201.4/205.2/204.1/204.3 |       194.059 | 197.6/195.5/195.1/198.3/194.1 |       7.358 |        5667 | 9894
M186 | VOTG    | typisch | 12M  | 2025-06-22T01:00 |          2 |           12 |          12 |          192.876 | 196.0/192.9/198.0/196.1/196.4 |        178.582 | 178.6/182.6/180.0/188.4/186.1 |       169.682 | 169.7/174.0/175.7/172.7/173.1 |       8.900 |        3990 | 93564
M186 | VOTG    | dicht   | 48H  | 2025-06-26T07:00 |          4 |           42 |          42 |          123.191 | 124.3/123.2/126.9/124.8/123.9 |        107.562 | 107.6/109.1/110.0/108.1/112.3 |        81.034 | 88.1/84.4/81.3/81.0/81.7 |      26.529 |        7312 | 870
M186 | VOTG    | dicht   | 30T  | 2025-06-26T07:00 |          4 |           42 |          42 |          248.983 | 249.0/251.4/250.5/249.2/251.3 |        232.113 | 236.1/235.5/232.1/237.2/237.6 |       210.161 | 211.2/212.3/210.5/210.8/210.2 |      21.952 |        5667 | 9916
