# M152 — das freie Zeitfenster am gebauten Endpunkt (07.09.2026)
#
# Erzeugt von MessungM152DbIT (backend/src/test/java/.../catalog/MessungM152DbIT.java),
# Profil dev, Anker der Anwendungsuhr 2025-12-30 04:09:47, Testkopie 192.168.11.148.
# Je Fall: Aufwaermlauf, dann fuenf Laeufe; "best" ist die beste von fuenf, "laeufe" alle fuenf.
# endpunkt = HTTP-Umlauf durch den gebauten Endpunkt (Sitzung, Dienst, Jackson) im Testclient;
# dienst   = ProzessbaumService.baum im selben Prozess (Zerlegung, beide Statements, Zusammensetzen).
# Die Zeilen unten sind unveraendert aus der Testausgabe uebernommen, nicht abgetippt.
M152 | mandant | fall               | segmente | endpunkt_best_ms | endpunkt_laeufe_ms | dienst_best_ms | dienst_laeufe_ms | rumpf_bytes | nachrichten
M152 | NEXANS  | 48H (Paar)         |        1 |           65.872 | 80.6/79.9/70.2/65.9/68.7 |         31.447 | 35.5/34.0/31.9/31.4/33.5 |      153885 | 9950
M152 | NEXANS  | 12M (Paar)         |        1 |          125.584 | 131.8/125.6/134.9/129.5/127.4 |         98.411 | 98.4/99.7/99.0/101.7/98.9 |      155551 | 2308005
M152 | NEXANS  | Jahr monatsbuendig |        1 |          120.554 | 124.6/122.8/125.2/121.1/120.6 |         96.309 | 100.3/101.1/96.3/96.6/100.3 |      155552 | 2308005
M152 | NEXANS  | 30 Tage krumm      |        3 |           71.480 | 78.4/80.6/71.5/74.1/96.1 |         51.682 | 53.8/52.9/54.3/51.7/53.6 |      154584 | 177525
M152 | NEXANS  | Boesfall           |        5 |          111.784 | 142.7/113.8/111.8/114.4/112.6 |         90.723 | 90.7/92.9/99.3/92.1/92.3 |      155551 | 2309634
M152 | VOTG    | 48H (Paar)         |        1 |           36.401 | 54.5/39.4/38.2/38.0/36.4 |         18.613 | 19.0/19.3/18.6/19.3/19.1 |       85055 | 399
M152 | VOTG    | 12M (Paar)         |        1 |           72.146 | 119.0/73.8/72.1/73.1/73.9 |         53.220 | 54.9/53.6/53.8/53.2/56.3 |       85174 | 113291
M152 | VOTG    | Jahr monatsbuendig |        1 |           71.806 | 73.1/72.5/72.4/71.8/74.1 |         53.038 | 54.9/53.9/53.0/54.3/54.2 |       85175 | 113291
M152 | VOTG    | 30 Tage krumm      |        3 |           44.560 | 49.3/48.5/48.7/47.7/44.6 |         26.642 | 27.2/30.9/26.6/27.1/27.3 |       85086 | 6100
M152 | VOTG    | Boesfall           |        5 |           63.635 | 64.4/64.4/63.7/64.3/63.6 |         46.775 | 47.1/46.8/47.5/47.4/48.0 |       85175 | 113776
M152 | IBIS    | 48H (Paar)         |        1 |           32.700 | 107.0/33.5/32.7/34.1/33.0 |         14.426 | 15.9/15.5/14.9/14.6/14.4 |       50570 | 235
M152 | IBIS    | 12M (Paar)         |        1 |           72.577 | 74.3/72.6/73.0/73.0/75.4 |         55.741 | 57.4/56.1/55.7/56.1/56.1 |       51010 | 58353
M152 | IBIS    | Jahr monatsbuendig |        1 |           72.767 | 76.8/72.8/74.9/73.5/74.0 |         55.065 | 55.1/55.9/55.1/55.8/57.3 |       51011 | 58353
M152 | IBIS    | 30 Tage krumm      |        3 |           44.165 | 47.2/45.9/45.4/44.2/45.7 |         26.477 | 27.0/27.0/26.5/27.0/26.7 |       50728 | 4240
M152 | IBIS    | Boesfall           |        5 |           64.024 | 65.0/64.0/67.9/75.2/83.5 |         47.488 | 47.5/49.0/49.6/49.4/49.0 |       51013 | 58470
M152 | SUTTONS | 48H (Paar)         |        1 |           22.446 | 177.2/24.9/23.5/23.1/22.4 |          9.222 | 9.2/9.6/10.0/10.1/9.9 |        3333 | 1337
M152 | SUTTONS | 12M (Paar)         |        1 |           55.044 | 56.1/56.8/56.8/56.8/55.0 |         41.751 | 41.8/42.7/42.6/41.9/44.3 |        3385 | 196536
M152 | SUTTONS | Jahr monatsbuendig |        1 |           56.056 | 56.9/103.7/56.5/56.1/58.9 |         41.741 | 41.7/42.5/42.2/42.3/41.8 |        3386 | 196536
M152 | SUTTONS | 30 Tage krumm      |        3 |           33.231 | 33.2/34.6/36.4/36.6/33.3 |         18.527 | 19.5/18.5/18.7/18.6/18.8 |        3357 | 21516
M152 | SUTTONS | Boesfall           |        5 |           52.954 | 75.8/53.0/55.7/53.0/57.5 |         37.348 | 37.3/38.7/38.6/37.6/37.4 |        3386 | 196508
